Montagne,Date,Name,Nationality,Cause of death
Annapurna-I,03/05/2019,Wui Kin Chin,Malaysia,Hypothermia/Frostbite
Annapurna-I,24/03/2015,Samuli Mansikka,Finland,Fall
Annapurna-I,24/03/2015,Pemba Sherpa,Nepal,Fall
Annapurna-I,07/10/2012,Ivan Lobanov,Uzbekistan,Avalanche
Annapurna-I,07/10/2012,Iljas Tukhvatullin,Uzbekistan,Avalanche
Annapurna-I,05/05/2012,Tibor Horváth,Hungary,Avalanche
Annapurna-I,18/10/2011,Young-seok Park,South Korea,Unknown
Annapurna-I,18/10/2011,Dong-min Shin,South Korea,Unknown
Annapurna-I,18/10/2011,Ki-seok Kang,South Korea,Unknown
Annapurna-I,29/04/2010,Tolo Calafat,Spain,Unknown
Annapurna-I,04/2009,Martin Minařík,Czech Republic,Fell into Crevasse
Annapurna-I,23/05/2008,Iñaki Ochoa de Olza,Spain,HACE
Annapurna-I,22/04/2007,Udhav Prasad Khanal,Nepal,Unknown
Annapurna-I,22/10/2006,Lhakpa Rita II,Nepal,Avalanche
Annapurna-I,18/05/2005,Christian Kuntner,Italy,Avalanche
Annapurna-I,10/10/2004,Hideji Nazuka,Japan,Avalanche
Annapurna-I,10/10/2004,Michio Sato,Japan,Avalanche
Annapurna-I,29/04/1999,Hyun-ok Ji,South Korea,Unknown
Annapurna-I,29/04/1999,Dorje Kami,Nepal,Unknown
Annapurna-I,26/04/1998,Ang Tshering,Nepal,Avalanche
Annapurna-I,25/12/1997,Anatoli Boukreev,Kazakhstan,Avalanche
Annapurna-I,25/12/1997,Dmitri Sobolev,Kazakhstan,Avalanche
Annapurna-I,23/03/1997,Ngati,Nepal,Fall
Annapurna-I,11/10/1992,Pierre Béghin,France,Fall
Annapurna-I,20/10/1991,Gabriel Denamur,Belgium,Unknown
Annapurna-I,19/09/1991,Seog-jee Lee,South Korea,Avalanche
Annapurna-I,19/09/1991,Song-gu Lee,South Korea,Avalanche
Annapurna-I,19/09/1991,Sange Dawa,Nepal,Avalanche
Annapurna-I,19/09/1991,Tendi Lhakpa,Nepal,Avalanche
Annapurna-I,19/09/1991,Jangbu Nurbu,Nepal,Avalanche
Annapurna-I,19/09/1991,Tenzing,Nepal,Avalanche
Annapurna-I,28/10/1989,Milan Metkov,Bulgaria,Unknown
Annapurna-I,28/10/1989,Ognian Stoykov,Bulgaria,Unknown
Annapurna-I,18/10/1988,Ramiro Navarrete,Ecuador,Fall
