Date,Name,Nationality,Cause of death
12 April 2022,Antonios Sykaris,Greece,Illness
27 September 2018,Dawa Gyaljen Sherpa,Nepal,Avalanche
30 April 2018,Simone La Terra,Italy,Storm
20 May 2017,Ang Ngima Sherpa,Nepal,Fall/Exposure
19 May 2016,Rajib Bhattacharya,India,Altitude sickness
16 May 2016,Christiaan Johan Wilson,Netherlands,Disappeared
15 October 2014,Ján Matlák,Slovakia,Avalanche
15 October 2014,Vladimír Švancár,Slovakia,Avalanche
15 October 2014,Bhoj Kumar Rai,Nepal,Avalanche
15 October 2014,Gopal Rai,Nepal,Avalanche
15 October 2014,Dorje Sherpa,Nepal,Avalanche
26 May 2013,Juanjo Garra,Spain,Fall and exposure
23 May 2013,Chizuko Kono,Japan,Exhaustion
23 May 2013,Dawa Sherpa,Nepal,Disappeared
28 September 2010,Daisuke Honda,Japan,Avalanche
28 September 2010,Osamu Tanabe,Japan,Avalanche
28 September 2010,Pasang Gyelu,Nepal,Avalanche
28 September 2010,Toshio Yamamoto,Japan,Avalanche
13 May 2010,Zhao Liang,China,Fall
13 May 2010,Li Bin,China,Cold/ Exhaustion
13 May 2010,Han Xin,China,Fall
1 May 2009,Mehdi Etemad Far,Iran,Fall
8 April 2009,Piotr Morawski,Poland,Fall into crevasse
5 May 2008,Rafael Guillén,Spain,Fall
5 May 2008,Darío Bracali,Argentina,Disappeared
12 May 2007,Santiago Sagaste,Spain,Avalanche
12 May 2007,Ricardo Valencia,Spain,Avalanche
30 April 2007,Sergio Dalla Longa,Italy,Fall
14 October 2001,Yukihiko Shinagawa,Japan,Disappeared
14 October 2001,Ryushi Hoshino,Japan,Disappeared
14 October 2001,Masashi Fukumoto,Japan,Disappeared
11 October 2001,Jose Antonio Garces,Spain,Fall
7 October 2000,Gyalzen Chuldim,Nepal,Avalanche
29 September 2000,Soo-ho Lee,South Korea,Avalanche
24 October 1999,Ginette Harrison,United Kingdom,Avalanche
24 October 1999,Dawa Dorje,Nepal,Avalanche
2 October 1998,Charalampos (Babis) Tsoupras,Greece,Fall
11 May 1998,Chantal Mauduit,France,Avalanche
11 May 1998,Ang Tshering,Nepal,Avalanche
1 May 1998,Nikos Papandreou,Greece,Fall
6 October 1995,Isayoshi Tawaraya,Japan,Disappeared
15 May 1995,Albrecht Hammann,Germany,Exposure
18 October 1994,Galina Chekanova,Ukraine,Fall
26 September 1994,Robert Bähler,Switzerland,Fall
6 October 1993,Gary Ball,New Zealand,Altitude Sickness
11 May 1992,Sanda Dumitrescu-Isaila,Romania,Disappeared
11 May 1992,Taina Coliban,Romania,Disappeared
2 May 1992,Hubert Weinzierl,Germany,Heart Failure
31 October 1990,Dainius Makauskas,Lithuania,Disappeared
29 April 1990,Wangel,Nepal,Avalanche
25 December 1989,Scot McGrath,United States,Avalanche
25 December 1989,Gregory Barber,United States,Avalanche
25 December 1989,Wangchuk Nuru,Nepal,Avalanche
10 October 1989,Francesc (Quico) Dalmases,Spain,Disappeared
25 September 1989,Sarki Kami,Nepal,Avalanche
25 September 1989,Ajiwa,Nepal,Avalanche
21 September 1986,Franz Mülleder,Austria,Edema
23 October 1984,Jan Simon,Czechoslovakia,Fall
23 May 1981,Mario Serrano,Argentina,Cold/Exhaustion
7 October 1980,Lynette R. Griffith,Australia,Avalanche
14 May 1979,Sherpa Pemba,Nepal,Disappeared
13 May 1979,Jean-Louis Sabarly,France,Avalanche
13 May 1979,Eric Poumailloux,France,Avalanche
20 October 1978,Katsuyoshi Kogure,Japan,Fall/Exposure
23 September 1978,Kiyoshi Kobayashi,Japan,Avalanche
23 September 1978,Yujiro Fukasawa,Japan,Avalanche
23 September 1978,Hiroshi Akuzawa,Japan,Avalanche
21 April 1978,Katsumi Naganuma,Japan,Exhaustion
26 March 1975,Yoshitada Numao,Japan,Avalanche
26 March 1975,Tetsu Imura,Japan,Avalanche
26 March 1975,Pasang Kami,Nepal,Avalanche
26 March 1975,Dorje,Nepal,Avalanche
26 March 1975,Dakiya,Nepal,Avalanche
28 April 1969,David Seidman,United States,Avalanche
28 April 1969,Ross William,United States,Avalanche
28 April 1969,Vincent Hoeman,United States,Avalanche
28 April 1969,Paul Gerhard,United States,Avalanche
28 April 1969,Boyd Everett,United States,Avalanche
28 April 1969,Pemba Phutar,Nepal,Avalanche
28 April 1969,Tenzing,Nepal,Avalanche
29 April 1959,Heinrich Roiss,Austria,Cold/Exhaustion
26 May 1956,Bal Bahadur,Nepal,Avalanche
30 June 1954,Francisco (Paco) Ibanez,Argentina,Exposure
