Date,Name,Nationality,Cause of death
25 July 2021,Rick Allen,United Kingdom,Avalanche
5 February 2021,Ali Sadpara,Pakistan,"Frozen to death due to storm, remains found July 2021"
5 February 2021,Juan Pablo Mohr Prieto,Chile,"Frozen to death due to storm, remains found July 2021"
5 February 2021,John Snorri Sigurjónsson,Iceland,"Frozen to death due to storm, remains found July 2021"
5 February 2021,Atanas Skatov,Bulgaria,Fall during descent from base 3
16 January 2021,Sergi Mingote,Spain,Fall during descent from base 1
22 July 2018,Kojiro Watanabe,Japan,Fall during descent
7 July 2018,Serge Dessureault,Canada,Fall
30 July 2014,Miguel Ángel Pérez,Spain,Probably altitude sickness
26/27 July 2013,Marty Schmidt,New Zealand / USA,Avalanche
26/27 July 2013,Denali Schmidt(son of Marty Schmidt),New Zealand / USA,Avalanche
6 February 2012,Vitaliy Gorelik,Russia,"Frostbite, Cardiac Insufficiency"
6 August 2010,Fredrik Ericsson,Sweden,Fall from bottle neck
17 July 2010,Petar Georgiev Unzhiev,Bulgaria,Altitude sickness
23 June 2009,Michele Fait,Italy,Fall with skis
2 August 2008,Hwang Dong-jin,South Korea,Fourth serac fall
2 August 2008,Park Kyeong-hyo,South Korea,Fourth serac fall
2 August 2008,Kim Hyo-gyung,South Korea,Fourth serac fall
2 August 2008,Meherban Karim,Pakistan,"Unknown, Second or third serac fall"
2 August 2008,Hugues d'Aubarede,France,Fall during descent
2 August 2008,Gerard McDonnell,Ireland,Second or third serac fall
2 August 2008,Pasang Bhote,Nepal,Fourth serac fall
2 August 2008,Jumic Bhote,Nepal,Fourth serac fall
2 August 2008,Rolf Bae,Norway,First serac fall
2 August 2008,Jahan Baig,Pakistan,Fall
2 August 2008,Dren Mandić,Serbia,Fall
20 July 2007,Stefano Zavka,Italy,Lost
20 July 2007,Nima Nurbu,Nepal,Fall from bottle neck
13 August 2006,Arkadi Kuvakin,Russia,Avalanche
13 August 2006,Aleksandr Foigt,Russia,Avalanche
13 August 2006,Piotr Kuznetsov,Russia,Avalanche
13 August 2006,Yuri Uteshev,Russia,Avalanche
19 August 2004,Manel de la Mata,Spain,Pulmonary edema
2 August 2004,Dauoud Khadem Asl,Iran,Lost in storm
2 August 2004,Sergei Sokolov,Russia,Lost in storm
28 July 2004,Aleksandr Gubaev,Kyrgyzstan,Fall
8 June 2004,Pae Kyong-kyu,South Korea,Avalanche
8 June 2004,Kim Jae-koung,South Korea,Avalanche
8 June 2004,Lee Hwa-hyeung,South Korea,Avalanche
21 July 2003,Klaus-Dieter Grohs,Germany,Fall
22 July 2002,Muhammad Iqbal,Pakistan,Fall
13 July 2002,Sher Ajman,Pakistan,Avalanche
"2001, 22 July",Park Young-do,South Korea,Fall
