Date,Name,Nationality,Cause of death
"2022, 6th May",Narayanan Iyer,India,Illness
"2019, 15 May",Biplab Baidya,India,Hypothermia
"2019, 15 May",Kuntal Kanrar,India,Hypothermia
"2019, 15 May",Rodrigo Vivanco,Chile,Missing
"2014, 20 May",Chhanda Gayen,India,Fall on descent above Camp 4
"2014, 20 May",Migma Temba,Nepal,Fall on descent above Camp 4
"2014, 20 May",Dewa Wangchu,Nepal,Fall on descent above Camp 4
"2013, 21 May",Bibash Gurung Sherpa,Nepal,Fall
"2013, 21 May",Pho Dorchi Sherpa,Nepal,Fall
"2013, 21 May",Park-nam Su,South Korea,Fall
"2013, 21 May",Péter Kiss,Hungary,Fall on descent above Camp 4
"2013, 21 May",Zsolt Erőss,Hungary,Disappeared on descent above Camp 4
"2007, 25 May",Iñigo de Pineda,Spain,Fall
"2002, 24 May",Christopher Grasswick,Canada,Fall
"2000, 23 April",Ang Dawa Tamang,Nepal,Hit by ice block
"1999,14 September",Myeong-kun Hyun,South Korea,Avalanche
"1999,14 September",Do-kyu Han,South Korea,Avalanche
"1998, 16 May",Atsushi Shiina,Japan,Probably HACE
"1998, 16 May",Kenzo Akasaka,Japan,Exhaustion
"1995, 6 October",Benoît Chamoux,France,Disappeared
"1995, 5 October",Pierre Royer,France,Disappeared
"1995, 5 October",Sherpa Riku,Nepal,Fall
"1994, 23 October",Yordanka Dimitrova,Bulgaria,Unknown (disappeared)
"1994, 10 October",Sergei Zhvirblya,Belarus,Avalanche
"1994, 10 October",Ekaterina Ivanova,Russia,Avalanche
"1992, 13 May",Wanda Rutkiewicz,Poland,Unknown (disappeared)
"1992, 25 April",Ang Dorje,Nepal,Suffocation
"1992, 25 April",Lhakpa Nuru,Nepal,Suffocation
"1991, 16 May",Pasang II,India,Fall
"1991, 3 May",Jože Rozman,Yugoslavia,Fall
"1991, 3 May",Marija Frantar,Yugoslavia,Fall
"1989, 20 December",Tchiring Chumbi Lama,Nepal,Fall (on Yalung Kang [a.k.a. Kangchenjunga West])
"1989, 20 December",Ang Dawa,Nepal,Fall (on Yalung Kang [a.k.a. Kangchenjunga West])
"1989, 20 December",Kyo-sup Jin,South Korea,Fall (on Yalung Kang [a.k.a. Kangchenjunga West])
"1988, 17 May",Sanjay Borole,India,Hypothermia
"1987, 31 May",Chander Singh,India,Fall
"1987, 25 May",Chorten Tshering,India,Disappearance
"1987, 25 May",Phu Pu Bhutia,India,Disappearance
"1987, 25 May",Phu Dorje II,India,Disappearance
1986 January 11,Andrzej Czok,Poland,Pulmonary edema
22 April 1985,Borut Bergant,Yugoslavia,Fall (on Yalung Kang [a.k.a. Kangchenjunga West])
1985 January 14,Chris Chandler,United States,HACE
1981 October 15,Jean-Jacques Ricouard,France,Fall
4 May 1980,Alfonso Medina,Mexico,Disappeared (on Yalung Kang [a.k.a. Kangchenjunga West])
4 May 1980,Hugo Saldaña,Mexico,Disappeared (on Yalung Kang [a.k.a. Kangchenjunga West])
1977 April 12,Sukhvinder Singh,India,Fall
1973 May 15,Takeo Matsuda,Japan,Hit by rock (after summitting Yalung Kang [a.k.a. Kangchenjunga West])
26 May 1955,Pemi Dorje,India,Fall
9 August 1931,Hermann Schaller,Germany,Fall
9 August 1931,Pasang 1,India,Fall
August 1931,Babu Lall,India,Illness (blackwater fever)
July 1931,Lobsang,India,Illness
9 May 1930,Chettan,India,Avalanche
27 May 1929,Edgar Farmer,United States,Disappeared
1905 September 1,three unnamed others,India,Fall
1905 September 1,Alexis Pache,Switzerland,Fall
28 August 1905,unnamed porter,India,Fall
