Date,Name,Nationality,Cause of death
17 May 2019,Ivan Tomov,Bulgaria,HACE
17 May 2018,Rustem Amirov,Russia,Altitude sickness
19 May 2016,Ang Furba Sherpa,Nepal,Fall
27 April 2015,Hiroshi Yamagata,Japan,Avalanche (2015 Mount Everest avalanches)
25 April 2015,Zhen-Fang Ge,China,Avalanche (2015 Mount Everest avalanches)
18 April 2014,Asman Tamang,Nepal,Avalanche (2014 Mount Everest ice avalanche)
20 May 2013,Hsiao-Shih Lee,Taiwan,Altitude sickness
16 October 2012,Temba Sherpa,Nepal,Fall
21 May 2012,Milan Sedláček,Czech Republic,Exhaustion
7 May 2010,Sergey Duganov,Russia,Altitude sickness
25 May 2009,Sergey Samoilov,Kazakhstan,Fall
21 May 2007,Pemba Doma,Nepal,Fall
9 May 2006,Pavel Kalný,Czech Republic,Fall
5 October 2003,Sun-dug Hwang,South Korea,Avalanche (on Lhotse Shar)
5 October 2003,Joo-hoon Park,South Korea,Avalanche (on Lhotse Shar)
17 September 2000,Vladimir Bondarev,Russia,Avalanche
27 May 1997,Vladimir Bashkirov,Russia,Illness
24 October 1989,Jerzy Kukuczka,Poland,Fall
27 September 1987,Antoni (Toni) Sors,Spain,Avalanche (on Lhotse Shar)
27 September 1987,Sergio Escalera,Spain,Avalanche (on Lhotse Shar)
27 September 1987,Francesc Porras,Spain,Avalanche (on Lhotse Shar)
27 September 1987,Antonio Quiñones,Spain,Avalanche (on Lhotse Shar)
14 September 1987,Czesław Jakiel,Poland,Avalanche
30 October 1986,Pedro Alonso,Spain,Fall (on Lhotse Shar)
25 October 1985,Rafał Chołda,Poland,Fall
16 October 1981,Philippe Petten,Switzerland,Disappearance (on Lhotse Shar)
16 October 1981,Pierre Favez,Switzerland,Disappearance (on Lhotse Shar)
17 May 1980,Pasang Nima,Nepal,Avalanche
28 April 1980,Nicolas Jaeger,France,Disappearance (on Lhotse Shar)
12 May 1977,Max Lutz,West Germany,Fall
17 December 1974,Stanislaw Latałło,Poland,Exhaustion
