Date,Name,Nationality,Cause of death
24 May 2019,Nima Tshering Sherpa,Nepal,Unknown
16 May 2019,Dipankar Ghos,India,Disappearance
16 May 2019,Narayan Singh,India,Altitude sickness
8 May 2019,Richard Hidalgo,Peru,Unknown
14 May 2018,Ang Dawa Sherpa,Nepal,Altitude sickness
11 May 2016,Lakpa Sherpa,Nepal,Death possibly due to lack of oxygen
11 May 2016,Dawa Tenji Sherpa,Nepal,Death possibly due to lack of oxygen
2 May 2014,Yannick Gagneret,France,HACE
24 April 2013,Liu Xiang-Yang,China,Fall on the descent from the summit
22 May 2011,Joëlle Brupbacher,Switzerland,Altitude sickness
30 May 2010,Zaharias (Haris) Kiriakakis,Greece,Disappearance
24 May 2009,Sangat Ram Thakur,India,Illness
20 May 2008,Nil Prasad Gurung,Nepal,Altitude sickness (?)
24 April 2008,Drabey Bahadur Rajan Mongar,Nepal,Fall
27 January 2006,Jean-Christophe Lafaille,France,Disappearance
15 May 2005,Sumba Sherpa,Nepal,Altitude sickness
18 May 2004,Jay Sieger,United States,Fall
17 May 2004,Vladislav Terzyul,Ukraine,Fall
25 April 2002,Raymond Caughron,United States,Probably exhaustion
14 May 2001,Eric Resch,Australia,Disappearance
16 May 2000,Bernd Mehnert,Germany,Probably pulmonary embolism
11 October 1999,Sange Sherpa,Nepal,Avalanche
30 April 1999,Michael Knakkergaard-Jørgensen,Denmark,Fall
13 October 1997,Per Lyhne,Denmark,Illness
24 May 1997,Igor Bugachevski,Russia,Rockfall
21 May 1997,Salavat Khabibullin,Russia,Exhaustion
14 May 1996,Anatoli Chlekht,Russia,Fall
8 May 1995,David Hume,Australia,Fall
8 October 1991,Takumi Ishizaka,Japan,"Exhaustion, Exposure"
2 October 1991,Manuel (Manu) Badiola,Spain,Fall
14 October 1988,Ryszard Kołakowski,Poland,Disappearance
25 September 1986,Marcel Rüedi,Switzerland,Exhaustion
13 September 1984,Ram Bahadur Shresta,Nepal,Pulmonary edema at base camp
15 October 1983,Mark Moorhead,Australia,Fall
3 October 1983,William Denz,New Zealand,Avalanche
26 September 1982,Tadeusz Szulc,Poland,Illness
6 October 1978,Andrzej Młynarczyk,Poland,Avalanche
25 May 1976,Karel Schubert,Czechoslovakia,"Cold, exhaustion"
26 May 1973,Jan Kounický,Czechoslovakia,Fall
26 September 1954,Dilli Bahadur Verma,Nepal,Pneumonia
