Date,Name,Nationality,Cause of death
29 September 2021,Brent Seal,Canada,Stroke
28 September 2019,Rita Bladyko,Poland,Altitude sickness
29 September 2018,Roman Hlávko,Czech Republic,Probably fall
8 September 2018,Hiromi Komatsu,Japan,Rescue helicopter crash
25 September 2017,Philip Harvey,United Kingdom,Altitude Sickness
26 October 2016,Hirotaka Onodera,Japan,Fall
1 October 2015,Zoltan Benedek,Austria,Probably altitude sickness
26 September 2014,Yoshimasa Sasaki,Japan,Fall
4 October 2012,Victor Correa,Colombia,Unknown (disappeared)
23 September 2012,Dominique Ouimet,Canada,Avalanche
23 September 2012,Gregory Ugo Costa,France,Avalanche
23 September 2012,Alberto Magliano,Italy,Avalanche
23 September 2012,Catherine Ricard,France,Avalanche
23 September 2012,Christian Mittermeyer,Germany,Avalanche
23 September 2012,Dawa Dorji Sherpa,Nepal,Avalanche
23 September 2012,Fabrice Priez,France,Avalanche
23 September 2012,Ludovic Challeat,France,Avalanche
23 September 2012,Marti Roig Gasull,Spain,Avalanche
23 September 2012,Phillippe Lucien Bos,France,Avalanche
23 September 2012,Rémy Lécluse,France,Avalanche
11 May 2012,Jafar Naseri,Iran,Unknown (disappeared)
12 May 2011,Tashi Chhiring,Nepal,Unknown (disappeared)
12 May 2011,Bernard Jean Francois Milian,France,Unknown (disappeared)
12 May 2011,Alain Peirre Marie Laurens,France,Unknown (disappeared)
29 April 2011,Eisa Mir-Shekari,Iran,Altitude sickness
24 September 2010,Nobuaki Kuwabara,Japan,Illness
24 April 2010,Chi-won Yun,South Korea,Unknown (disappeared)
24 April 2010,Haeng-su Park,South Korea,Exhaustion
3 October 2009,Franc Oderlap,Slovenia,"Hit by falling seracs, died in hospital"
19 May 2009,Levente Szabó,Hungary,Fall
28 April 2009,Giuseppe Antonelli,Italy,Illness
5 October 2008,Daniel Goulevitch,France,Altitude sickness
13 May 2008,Hasta Bahadur Gurung,Nepal,Illness
28 May 2006,Susan Erica Fear,Australia,Fall in crevasse
13 October 2001,Isao Kuribara,Nepal,"Altitude sickness, Exhaustion"
30 October 1998,Hristo Stantchev,Bulgaria,Fall
26 October 1998,Lenin Granados,Colombia,Avalanche
9 October 1997,Miroslav Rybansky,Slovakia,Collapsed
8 October 1997,Juraj Kardhordo,Slovakia,Unknown (disappeared)
1 October 1996,Masatsugu Konishi,Japan,Unknown (disappeared)
7 May 1995,Michael Zunk,Germany,Fall
6 May 1995,Jörg Starke,Germany,Fall
22 October 1993,Sergei Jadrychnikov,Russia,Avalanche
21 October 1993,Igor Khmiliar,Russia,Fall
3 October 1992,Sven Vermeiren,Belgium,Fall
2 October 1992,Sylwia Dmowska,Poland,Fall
10 May 1991,Karl Großrubatscher,Italy,Fall
10 May 1991,Gottfried Mutschlechner,Italy,Lightning
7 September 1990,Murat Galiev,Soviet Union,Fall
7 September 1990,Zinur Halitov,Soviet Union,Fall
7 September 1990,Grigory Lunjakov,Soviet Union,Fall
27 March 1990,Nima Wangchuk Sherpa,Nepal,Avalanche
27 March 1990,Charles Schertz,United States,Avalanche
27 March 1990,Nancy Jackson,United States,Avalanche
7 May 1989,Santiago Suarez,Spain,Fall
28 October 1987,Ichigi Kudo,Japan,Fall
4 May 1986,Dieter Oberbichler,Austria,Fall
3 May 1986,Wilhelm Klaiber,West Germany,Unknown (disappeared)
25 October 1985,Nima Norbu Sherpa,Nepal,Avalanche
4 May 1985,Thomas Juen,Austria,Avalanche
11 December 1983,Stanisław Jaworski,Poland,Fall
24 April 1983,Ante Bućan,Yugoslavia,Avalanche
24 April 1983,Nejc Zaplotnik,Yugoslavia,Avalanche
18 December 1982,Takashi Sakuma,Japan,"Cold, Exhaustion"
10 May 1982,Pere Aymerich,Spain,Avalanche
10 May 1982,Enric Font,Spain,Avalanche
8 October 1979,Edgardo Jose Porsellana,Argentina,Avalanche
5 May 1974,Teiko Suzuki,Japan,Unknown (disappeared)
26 April 1972,Andi Schlick,Austria,Unknown (disappeared)
25 April 1972,Franz Jäger,Austria,Unknown (disappeared)
10 April 1972,Wangel,Nepal,Avalanche
10 April 1972,Rinsing Ongyal,Nepal,Avalanche
10 April 1972,Phurba Tenzing,Nepal,Avalanche
10 April 1972,Pemba Rinji (Nawang Chultim),Nepal,Avalanche
10 April 1972,Pasang Nima,Nepal,Avalanche
10 April 1972,Gyalze,Nepal,Avalanche
10 April 1972,Ang Tendi (Ang Dawa),Nepal,Avalanche
10 April 1972,Ang Rita,Nepal,Avalanche
10 April 1972,Ang Mingma (b),Nepal,Avalanche
10 April 1972,Ang Mingma (a),Nepal,Avalanche
10 April 1972,Kazunari Yasuhisha,Japan,Avalanche
10 April 1972,Chang-hee Park,South Korea,Avalanche
10 April 1972,Sae-keon Oh,South Korea,Avalanche
10 April 1972,Joon-haeng Song,South Korea,Avalanche
10 April 1972,Ho-sup Kim,South Korea,Avalanche
4 May 1971,Ki-sup Kim,South Korea,Fall
