Rang;Nom;Altitude (m);Chaîne;Pays
1;Everest;8 849;Himalaya;Chine / Népal
2;K2;8 611;Karakoram;Chine / Pakistan
3;Kangchenjunga;8 586;Himalaya;Inde / Népal
4;Lhotse;8 516;Himalaya;Chine / Népal
5;Makalu;8 485;Himalaya;Chine / Népal
6;Cho Oyu;8 188;Himalaya;Chine / Népal
7;Dhaulagiri I;8 167;Himalaya;Népal
8;Manaslu;8 163;Himalaya;Népal
9;Nanga Parbat;8 126;Himalaya;Pakistan
10;Annapurna I;8 091;Himalaya;Népal
11;Gasherbrum I;8 080;Karakoram;Chine / Pakistan
12;Broad Peak;8 051;Karakoram;Chine / Pakistan
13;Gasherbrum II;8 035;Karakoram;Chine / Pakistan
14;Shishapangma;8 027;Himalaya;Chine
15;Gyachung Kang;7 952;Himalaya;Chine / Népal
16;Annapurna II;7 937;Himalaya;Népal
17;Gasherbrum IV;7 932;Karakoram;Chine / Pakistan
18;Himalchuli;7 893;Himalaya;Népal
19;Distaghil Sar;7 884;Karakoram;Pakistan
20;Ngadi Chuli;7 871;Himalaya;Népal
21;Khunyang Chhish;7 823;Karakoram;Pakistan
22;Masherbrum;7 821;Karakoram;Pakistan
23;Nanda Devi;7 816;Himalaya;Inde
24;Chomo Lonzo;7 804;Himalaya;Chine
25;Batura Sar;7 795;Karakoram;Pakistan
26;Rakaposhi;7 788;Karakoram;Pakistan
27;Namcha Barwa;7 782;Himalaya;Chine
28;Kanjut Sar;7 760;Karakoram;Pakistan
29;Kamet;7 756;Himalaya;Inde
30;Dhaulagiri II;7 751;Himalaya;Népal
31;Saltoro Kangri;7 742;Karakoram;Inde
32;Jannu;7 711;Himalaya;Népal
33;Tirich Mir;7 708;Hindou Kouch;Pakistan
34;Molamenqing;7 703;Himalaya;Chine
35;Gurla Mandhata;7 694;Himalaya;Chine
36;Saser Kangri I;7 672;Karakoram;Inde
37;Chogolisa;7 665;Karakoram;Pakistan
38;Dhaulagiri IV;7 661;Himalaya;Népal
39;Kongur Tagh;7 649;Cordillère du Kunlun;Chine
40;Shispare;7 611;Karakoram;Pakistan
41;Trivor;7 577;Karakoram;Pakistan
42;Gangkhar Puensum;7 570;Himalaya;Bhoutan
43;Minya Konka;7 556;Monts Hengduan;Chine
44;Annapurna III;7 555;Himalaya;Népal
45;Mustagh Ata;7 546;Cordillère du Kunlun;Chine
46;Skyang Kangri;7 545;Karakoram;Chine / Pakistan
47;Changtse;7 543;Himalaya;Chine
48;Kula Kangri;7 538;Himalaya;Bhoutan / Chine
49;Kongur Tiube;7 530;Cordillère du Kunlun;Chine
50;Mamostong Kangri;7 516;Karakoram;Inde
51;Saser Kangri II Est;7 513;Karakoram;Inde
