Date,Name,Nationality,Cause of death
24 February 2019,Daniele Nardi,Italy,Unknown
24 February 2019,Tom Ballard,United Kingdom,Unknown
27/28 January 2018,Tomasz Mackiewicz,Poland,Altitude Sickness
24 June 2017,Alberto Zerain,Spain,Avalanche
24 June 2017,Mariano Galvan,Argentina,Avalanche
22 June 2013,Igor Svergun,Ukraine,Killed by Taliban at Diamir Base Camp
22 June 2013,Badawi Kashaev,Ukraine,Killed by Taliban at Diamir Base Camp
22 June 2013,Dmitry Konyaev,Ukraine,Killed by Taliban at Diamir Base Camp
22 June 2013,Rao Jianfeng,China,Killed by Taliban at Diamir Base Camp
22 June 2013,Yang Chunfeng,China,Killed by Taliban at Diamir Base Camp
22 June 2013,Honglu Chen,China (USA/China dual national),Killed by Taliban at Diamir Base Camp
22 June 2013,Sona Sherpa,Nepal,Killed by Taliban at Diamir Base Camp
22 June 2013,Ernestas Markšaitis,Lithuania,Killed by Taliban at Diamir Base Camp
22 June 2013,Ali Hussain,Pakistan,Killed by Taliban at Diamir Base Camp
22 June 2013,Anton Dobes,Slovakia,Killed by Taliban at Diamir Base Camp
22 June 2013,Peter Sperka,Slovakia,Killed by Taliban at Diamir Base Camp
6 February 2013,Joel Wischnewski,France,Avalanche
11 July 2009,Mi-young Go,South Korea,Fall
10 July 2009,Wolfgang Kölblinger,Austria,Fall
17 July 2008,Saman Nemati,Iran,Unknown
15 July 2008,Karl Unterkircher,Italy,Fell into crevasse
28 July 2006,Naohiro Ozawa,Japan,Unknown
22 July 2006,José Antonio Delgado,Venezuela,Exposure
1 July 2004,Günter Jung,Germany,Fall
26 July 1998,Hideki Ohmiya,Japan,Fall
30 July 1997,Joan Colet,Spain,Fell during descent
20 June 1996,Răzvan Petcu,Romania,Avalanche
20 June 1996,Gabriel Stana,Romania,Avalanche
24 June 1994,Antonio Lopez,Spain,Fall
7 July 1993,Chun-moon Ahn,South Korea,Unknown
18 August 1990,Osami Nakajima,Japan,Fall
3 July 1990,Chang-gi Park,South Korea,Fall into a crevasse
18 July 1989,Tetsuya Baba,Japan,Lightning strike
23 June 1989,Kwang-ho Kim,South Korea,Fall
10 July 1985,Piotr Kalmus,Poland,Avalanche
8 December 1984,Hiromi Kameda,Japan,Fall
7 July 1984,Fuji Tsunoda,Japan,Avalanche
7 July 1984,Shigeoh Hida,Japan,Avalanche
7 July 1984,Nobuyuki Imakyurei,Japan,Avalanche
7 July 1984,Takashi Kogure,Japan,Avalanche
12 July 1983,Nobuyoshi Yamada,Japan,Avalanche
12 July 1983,Yuichiro Takamori,Japan,Avalanche
12 July 1983,Satoshi Iida,Japan,Avalanche
17 June 1983,Kazuo Shimura,Japan,Fall
8 June 1982,Peter Hiltbrand,Switzerland,Altitude sickness
12 June 1982,Ali Sheikh,Pakistan,Fall
4 June 1982,Peter Forrer,Switzerland,Avalanche
28 April 1982,Matloob Hassan Nuri,Pakistan,Fall into crevasse
31 July 1977,Robert Broughton,United States,Avalanche
31 July 1977,George Bogel,United States,Avalanche
26 September 1976,Sebastian (Wastl) Arnold,Austria,Fall
8 July 1971,Näbi Mantas Hunza,Pakistan,Fall
29 June 1970,Günther Messner,Italy,Avalanche
23 June 1962,Siegfried (Sigi) Löw,Germany,Fall
4 December 1950,John W. Thornley,United Kingdom,Unknown
4 December 1950,William H. Crace,United Kingdom,Unknown
14 / 15 June 1937,Karl Wien,Nazi Germany,Avalanche
14 / 15 June 1937,Martin Pfeffer,Nazi Germany,Avalanche
14 / 15 June 1937,Peter Müllritter,Nazi Germany,Avalanche
14 / 15 June 1937,Günther Hepp,Nazi Germany,Avalanche
14 / 15 June 1937,Hans Hartmann,Nazi Germany,Avalanche
14 / 15 June 1937,Adolf Göttner,Nazi Germany,Avalanche
14 / 15 June 1937,Pert Fankhauser,Austria,Avalanche
14 / 15 June 1937,Tigmay,British Raj,Avalanche
14 / 15 June 1937,Pasang Norbu,British Raj,Avalanche
14 / 15 June 1937,Nima Tsering I,British Raj,Avalanche
14 / 15 June 1937,Nima Tsering II,British Raj,Avalanche
14 / 15 June 1937,Mingma Tsering,British Raj,Avalanche
14 / 15 June 1937,Karmi,British Raj,Avalanche
14 / 15 June 1937,Gyalgen Monjo,British Raj,Avalanche
14 / 15 June 1937,Chong Karma,British Raj,Avalanche
14 / 15 June 1937,Ang Tshering II,British Raj,Avalanche
17 July 1934,Willy Merkl,Nazi Germany,Unknown
17 July 1934,Sherpa Gyali,British Raj,Unknown
12 July 1934,Wilhelm Welzenbach,Nazi Germany,Exposure
10 July 1934,Sherpa Dakshi,British Raj,Unknown
10 July 1934,Dorje Nima,British Raj,Exposure
10 July 1934,Nima Tashi,British Raj,Exposure
10 July 1934,Pinju Norbu,British Raj,Exposure
9 July 1934,Nima Nurbu,British Raj,Unknown
9 July 1934,Ulrich Wieland,Nazi Germany,Unknown
8 June 1934,Alfred Drexel,Nazi Germany,Pneumonia
24 August 1895,Albert F. Mummery,United Kingdom,Avalanche
24 August 1895,Ragobir Thapa Ghurka,Nepal,Avalanche
24 August 1895,Goman Singh Ghurka,Nepal,Avalanche
