Date,Name,Nationality,Cause of death
3 May 2018,Boyan Petrov,Bulgaria,Disappearance
30 Sept 2016,Pemba Sherpa (Taplejung 8),Nepal,Avalanche
24 April 2016,Patrik Matiolli,Switzerland,Fall in crevasse
24 April 2016,Jon Johnston,Australia,Fall in crevasse
24 September 2014,Sebastian Haag,Germany,Avalanche
24 September 2014,Andrea Zambaldi,Italy,Avalanche
11 May 2013,Unknown,Germany,HAPE
15 October 2009,Roby Piantoni,Italy,Fall
24 April 2007,Marek Hudák,Slovakia,Disappearance
31 October 2006,Bruno Carvalho,Portugal,Fall
3 October 2005,Stanislav Krylov,Russia,Disappearance
28 September 2005,Martin Oczko,Czech Republic,Altitude sickness
5 October 1999,Alex Lowe,United States,Avalanche
5 October 1999,David Bridges,United States,Avalanche
21 May 1998,Andreino Pasini,Italy,Illness
5 October 1996,Viktor Pastukh,Ukraine,Avalanche
5 October 1996,Gennadi Vasilenko,Ukraine,Avalanche
19 May 1996 or May 1997,Ming-Tse Kuo,Taiwan,Fall
1 May 1996,Stefan Sluka,Slovakia,Disappeared on descent
1 October 1994,Zdenek Slachta,Czech Republic,Avalanche
18 September 1994,Tod Gassen,United States,Fall in crevasse
29 September 1993,Bueoung-tae Park,South Korea,Fall
20 September 1991,Hidekazu Gomi,Japan,Avalanche
20 September 1991,Tetsuichi Miyashita,Japan,Avalanche
22 May 1991,Werner Braun,Germany,Disappearance (probably avalanche)
22 May 1991,Werner Meichsner,Germany,Disappearance (probably avalanche)
22 May 1991,Günther Semmler,Germany,Disappearance (probably avalanche)
22 May 1991,Karl-Heinz Thiele,Germany,Disappearance (probably avalanche)
15 October 1990,Joan Martinez,Spain,Exposure
4 October 1989,Luca Leonardi,Switzerland,Avalanche
28 April 1983,Fritz Luchsinger,Switzerland,Altitude sickness
